downloaded at,2026/03/01,初期値(web用),web用,,,,,,,,,,
rot_jas,``logical``,``.true.``,"If true, enforces rotational symmetry on the pairing functions in the Jastrow part.",None,None,! rot_jas=.true. ! same as above for the jastrow factor,None,symmetries,makefort10.x,None,makefort10_53,makefort10.f90:2213,
rot_pfaff,``logical``,``.false.``,"If true, enforces rotational symmetry on the pairing functions in the Pfaffian part.",None,None,None,None,symmetries,makefort10.x,None,makefort10_54,makefort10.f90:2214,
nosym_contr,``logical``,``.false.``,"If true, does not impose symmetry on the contractions in the determinant part.",None,None,".. code-block:: text

    nosym_contr=.true. ! Acts only when eqatoms=.true.
    if .true. all the same atoms have the same exponents
    but different coefficients in det
",nosym_contr=.true. ! acts only when eqatoms=.true. ; if .true. all the same atoms have the same exponents but different coeff. in det,symmetries,makefort10.x,None,makefort10_55,makefort10.f90:2209,
nosym_contrj,``logical``,``.false.``,"If true, does not impose symmetry on the contractions in the Jastrow part.",None,None,".. code-block:: text

    nosym_contrj=.true. ! Acts only when eqatoms=.true.
    if .true. all the same atoms have the same exponents
    but different coefficients in jas
",nosym_contrj=.true.  ! acts only when eqatoms=.true. ; if .true. all the same atoms have the same exponents but different coeff. in jas,symmetries,makefort10.x,None,makefort10_56,makefort10.f90:2210,
symmagp,``logical``,``.true.``,"If true, imposes antisymmetry on the AGP matrix, i.e., the state becomes a pure spin singlet.","If symmagp = .false., create a fort.10 file with a lambda matrix that is not symmetric (e.g., JAGPu ansatz).","If true, taking into account of only singlet pairings, if false, considering also triplet pairings (BOOLEAN).","! symmagp=.true.   ! if false use a non symmetric AGP, if true satisfies time reversal in the complex case","typo underscore?

.. code-block:: text

    ! create a fort.10 with a not symmetric lambda matrix
    symm_agp=.false.
",symmetries,makefort10.x,makefort10_04,makefort10_57,makefort10.f90:2200,
forcesymm,``logical``,``.false.``,forcesymm: WIP (to be documented).,None,None,None,None,symmetries,makefort10.x,None,makefort10_58,makefort10.f90:2546,
nshelljas,``integer``,``0``,Specifies the number of basis-function shells used for the Jastrow part.,None,The number of gaussian basis for use in Jastrow factor (INTEGER).,None,"nshelljas=2  ! if negative , i.e. -2, also Jastrow matrix elements are read below)",shells,makefort10.x,None,makefort10_59,orbitals.f90:108,
nshelldet,``integer``,``0``,Specifies the number of basis-function shells used for the determinant part.,None,The number of gaussian basis for use in the determinant part (INTEGER).,None,None,shells,makefort10.x,None,makefort10_60,orbitals.f90:107,
njas_hyb,``integer``,``0``,"If specified, adds that many hybrid orbitals to the Jastrow part.",None,None,".. code-block:: text

    !!! for hybrid orbitals in det and jas
    ! ndet_hyb=4
    ! njas_hyb=2
",None,shells,makefort10.x,None,makefort10_61,orbitals.f90:109,
ndet_hyb,``integer``,``0``,"If specified, adds that many hybrid orbitals to the determinant part.",None,None,".. code-block:: text

    !!! for hybrid orbitals in det and jas
    ! ndet_hyb=4
    ! njas_hyb=2
",! ndet_hyb=4 authomatic generation of hybrid orbitals in the given (scontracted) basis defined by normal orbitals.,shells,makefort10.x,None,makefort10_62,orbitals.f90:110,
no_3body_jas,``logical``,``.false.``,Not used.,None,None,"! no_3body_jas=.true. ! if true, switch off the three body Jastrow but keep one body for this atom.",None,shells,makefort10.x,None,makefort10_63,orbitals.f90:112,
ncut_hyb,``integer``,``-1``,Not used.,None,None,None,None,shells,makefort10.x,None,makefort10_64,orbitals.f90:111,
ATOMIC_POSITIONS,WIP,WIP,"Specifies atomic positions, using the same convention as Quantum ESPRESSO.",None,None,".. code-block:: text

    ATOMIC_POSITIONS
          4     14       0.0      0.0000000       0.00
          4     14       0.5      0.0000000       0.25
          4     14      -0.5      0.5      0.5
          4     14       0.0000000      0.5     0.75
",".. code-block:: text

        ATOMIC_POSITIONS
        1 1. -.6651468000 -.6651468000 -.6651468000
        1 1. .6651468000 .6651468000 .6651468000

    The first two numbers A1 and A2 define valence electron number and atomic number, respectively,
    Moreover the other three numbers indicate the corresponding position of the atom in the units specified in input.
    A1 and A2 are real numbers and the atomic number A=int(A2). The latter extension to real numbers is very useful in several cases.
    For instance, when using pseudo for Hydrogen, one can put A2=1.1 because it is assumed in the code
    that pseudo are used if A2=/A1. The second use is to define several atomic positions
    corresponding to the same atomic number, and nevertheless using a different basis for each different position.
",ATOMIC_POSITIONS,makefort10.x,makefort10_01,makefort10_65,WIP,
ATOMIC_SPECIES,WIP,WIP,"Specifies atomic species, using the same convention as Quantum ESPRESSO.",None,None,None,".. code-block:: text

    ! this section is read only if readatoms=.true., here you have
    ! to provide the name of the fort.10 for each atom present in ATOMIC_POSITIONS
    ! with the same order
    ATOMIC_SPECIES
    1 H.fort10

    ! orbitals with the same notation of the fort.10
    ! this section is not read if read_atoms=.true.

    If orbtype=""normal"" use the same notation of fort.10

    if orbtype=""tempered"" the oribal notation is

    >multi nparm ioptorb
    >ion alpha beta

    if orbtype=""mixed"" the notation is

    >multi nparm ioptorb nparm2
    >ion parm(1) ... parm(nparm)  alpha beta

    if nparm2=0, alpha and beta are not read
",ATOMIC_SPECIES,makefort10.x,None,makefort10_66,WIP,
